name,resource_type,service_name,region,cloud_resource_id,name_has_prod,name_has_dev,name_has_staging,name_has_test,name_has_api,name_has_ml,name_has_data,name_length,name_word_count,label
dashboard-user-dev-serverlessdeploymentbucket-f7o9smaznbo2,Bucket,AmazonS3,ap-south-1,dashboard-user-dev-serverlessdeploymentbucket-f7o9,0,1,0,0,0,0,0,58,5,dev
prod-rc-theft-&-bulk-process,Instance,AmazonEC2,ap-south-1,i-099a98fc02204b10c,1,0,0,0,0,0,0,28,6,prod
,Snapshot,AmazonEC2,ap-south-1,snap-0768f0c8abb2f087d,0,0,0,0,0,0,0,0,0,OCEAN V1 PUBLIC APPLICATION API
vehicle-lambda-v4-dev-serverlessdeploymentbucket-yhkui3fydtts,Bucket,AmazonS3,ap-south-1,vehicle-lambda-v4-dev-serverlessdeploymentbucket-y,0,1,0,0,0,0,0,61,6,dev
vehiclev10-dev-serverlessdeploymentbucket-xntq1lico8mp,Bucket,AmazonS3,ap-south-1,vehiclev10-dev-serverlessdeploymentbucket-xntq1lic,0,1,0,0,0,0,0,54,4,dev
aadhargetotp-dev-serverlessdeploymentbucket-hnkftiezxqiy,Bucket,AmazonS3,ap-south-1,aadhargetotp-dev-serverlessdeploymentbucket-hnkfti,0,1,0,0,0,0,0,56,4,dev
metaverse-dev-serverlessdeploymentbucket-wd2miklccuil,Bucket,AmazonS3,ap-south-1,metaverse-dev-serverlessdeploymentbucket-wd2miklcc,0,1,0,0,0,0,0,53,4,dev
user-dev-serverlessdeploymentbucket-axuyolekab8x,Bucket,AmazonS3,ap-south-1,user-dev-serverlessdeploymentbucket-axuyolekab8x,0,1,0,0,0,0,0,48,4,dev
my-service-dev-serverlessdeploymentbucket-967abhdcuwg9,Bucket,AmazonS3,us-east-1,my-service-dev-serverlessdeploymentbucket-967abhdc,0,1,0,0,0,0,0,54,5,dev
sls-test-dev-serverlessdeploymentbucket-6s4b9trwms76,Bucket,AmazonS3,us-east-1,sls-test-dev-serverlessdeploymentbucket-6s4b9trwms,0,1,0,1,0,0,0,52,5,dev
prod-testing-scoop-1st,Instance,AmazonEC2,ap-south-1,i-03a561577aa688bdf,1,0,0,1,0,0,0,22,4,prod
prod-testing-scoop-2nd,Instance,AmazonEC2,ap-south-1,i-04a997918a51193bf,1,0,0,1,0,0,0,22,4,prod
user-prod-serverlessdeploymentbucket-j9ustbezyfbo,Bucket,AmazonS3,ap-south-1,user-prod-serverlessdeploymentbucket-j9ustbezyfbo,1,0,0,0,0,0,0,49,4,prod
,Snapshot,AmazonEC2,ap-south-1,snap-0839786c2232d4816,0,0,0,0,0,0,0,0,0,VOLUME
vehicle-lambda-dev-serverlessdeploymentbucket-7jwh36cx0yth,Bucket,AmazonS3,ap-south-1,vehicle-lambda-dev-serverlessdeploymentbucket-7jwh,0,1,0,0,0,0,0,58,5,dev
prod-invi-read-frontend,Instance,AmazonEC2,ap-south-1,i-01be56849bfd921d6,1,0,0,0,0,0,0,23,4,prod
prod-invi-read-backend-2nd,Instance,AmazonEC2,ap-south-1,i-09aed364e2034b6a2,1,0,0,0,0,0,0,26,5,prod
prod-invi-read-mini-backend,Instance,AmazonEC2,ap-south-1,i-0396c51036ba650f3,1,0,0,0,0,0,0,27,5,prod
prod-invi-read-backend-1st,Instance,AmazonEC2,ap-south-1,i-04b87b4db461553ea,1,0,0,0,0,0,0,26,5,prod
io-ct-jenkins,Instance,AmazonEC2,ap-south-1,i-07c47f86b70d8dc6d,0,0,0,0,0,0,0,13,3,prod
audit-smart-contract,Instance,AmazonEC2,ap-south-1,i-02dce087aaf9073cf,0,0,0,0,0,0,0,20,3,poc
face-recognition-dev-serverlessdeploymentbucket-ktgvbyxyw1ko,Bucket,AmazonS3,ap-south-1,face-recognition-dev-serverlessdeploymentbucket-kt,0,1,0,0,0,0,0,60,5,dev
kyc-client-smart-contract-bucket,Bucket,AmazonS3,ap-south-1,kyc-client-smart-contract-bucket,0,0,0,0,0,0,0,32,5,poc
oceansls-prod-serverlessdeploymentbucket-vtq47wpz8w33,Bucket,AmazonS3,ap-south-1,oceansls-prod-serverlessdeploymentbucket-vtq47wpz8,1,0,0,0,0,0,0,53,4,prod
